name,type,n_anthropic/claude-sonnet-4.5,n_deepseek/deepseek-v3.1-terminus,n_google/gemini-2.5-flash,n_meta-llama/llama-4-maverick,n_openai/gpt-5-mini,pooled_count,llm_freq,human_freq,lift,lift_ci_low,lift_ci_high,n_models,unstable
Quasar,surname,0,0,0,9,4,13,0.01300,3.388e-09,3836839.3,2246837.5,6526951.2,2,0
Shadowglow,surname,0,0,0,10,3,13,0.01300,3.388e-09,3836839.3,2246837.5,6526951.2,2,0
Vex,surname,0,0,0,6,7,13,0.01300,3.388e-09,3836839.3,2246837.5,6526951.2,2,0
Elianore,first,0,0,0,9,4,13,0.01300,3.844e-09,3381514.3,1980201.0,5752385.5,2,0
Darkhaven,surname,0,0,0,1,6,7,0.00700,3.388e-09,2065990.4,1001953.7,4243690.9,2,1
Rostova,surname,0,5,1,0,0,6,0.00600,3.388e-09,1770848.9,812415.8,3845204.9,2,1
Lyrien,first,0,0,0,2,3,5,0.00500,3.844e-09,1300582.4,556000.0,3030649.8,2,1
Fanshawe,surname,0,0,0,2,2,4,0.00400,3.388e-09,1180565.9,459406.3,3022166.3,2,1
Moonwhisper,surname,0,0,0,3,1,4,0.00400,3.388e-09,1180565.9,459406.3,3022166.3,2,1
Em,first,0,0,0,3,0,3,0.00300,3.844e-09,780349.4,265517.9,2284647.7,1,1
Crossing,surname,2,0,0,0,0,2,0.00200,3.388e-09,590283.0,161924.1,2143600.5,1,1
Darkshadow,surname,0,0,0,2,0,2,0.00200,3.388e-09,590283.0,161924.1,2143600.5,1,1
Jaxon,surname,0,0,0,1,1,2,0.00200,3.388e-09,590283.0,161924.1,2143600.5,2,1
Kaelen,surname,1,1,0,0,0,2,0.00200,3.388e-09,590283.0,161924.1,2143600.5,2,1
Umbrella,surname,2,0,0,0,0,2,0.00200,3.388e-09,590283.0,161924.1,2143600.5,1,1
Vexen,surname,0,0,0,0,2,2,0.00200,3.388e-09,590283.0,161924.1,2143600.5,1,1
Borrowed,first,2,0,0,0,0,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,1,1
Hackney,first,2,0,0,0,0,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,1,1
Ravenswood,first,0,0,0,0,2,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,1,1
Schwinn,first,0,1,0,0,1,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,2,1
Thibodeaux,first,0,0,0,2,0,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,1,1
Waterloo,first,0,2,0,0,0,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,1,1
Xylos,first,0,0,2,0,0,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,1,1
Étienne,first,0,0,0,2,0,2,0.00200,3.844e-09,520233.0,142708.3,1889215.3,1,1
Alderan,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Archivist,surname,0,0,0,1,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Brightforge,surname,1,0,0,0,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Brightshield,surname,0,0,0,1,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Brightshore,surname,0,0,0,1,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Brightstoke,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Buonarroti,surname,1,0,0,0,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Celene,surname,1,0,0,0,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Cod,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Darkhunter,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Drive,surname,0,0,0,1,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Eiravel,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Gloom,surname,0,0,1,0,0,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Greymar,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Gómez,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Helios,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
Ironfist,surname,0,0,0,0,1,1,0.00100,3.388e-09,295141.5,52104.8,1665395.7,1,1
